timestamp,week
1380893093,2013-40
1380897949,2013-40
1380898578,2013-40
1380898721,2013-40
1380909548,2013-40
1380910623,2013-40
1380959552,2013-40
1380965074,2013-40
1380967243,2013-40
1380967350,2013-40
1380967489,2013-40
1380979400,2013-40
1380979514,2013-40
1380979779,2013-40
1381171871,2013-41
1382629557,2013-43
1382630770,2013-43
1382632834,2013-43
1382633819,2013-43
1389612812,2014-03
1390739645,2014-04
1391296829,2014-05
1399768080,2014-19
1400442521,2014-21
1403042065,2014-25
1403521062,2014-26
1403652451,2014-26
1403652769,2014-26
1407344399,2014-32
1407350194,2014-32
1407350262,2014-32
1409337656,2014-35
1409496145,2014-35
1417626422,2014-49
1417863297,2014-49
1417876615,2014-49
1417877091,2014-49
1417877191,2014-49
1417880008,2014-49
1417880047,2014-49
1417885802,2014-49
1417896575,2014-49
1417900231,2014-49
1417905971,2014-49
1417982006,2014-50
1418053100,2014-50
1418060184,2014-50
1418063385,2014-50
1418145093,2014-50
1418152953,2014-50
1418157866,2014-50
1418508334,2014-50
1418508373,2014-50
1418589194,2014-51
1418589226,2014-51
1418589246,2014-51
1418589324,2014-51
1418596078,2014-51
1418596446,2014-51
1418676435,2014-51
1418677186,2014-51
1418681846,2014-51
1418682291,2014-51
1418685537,2014-51
1418731723,2014-51
1418732807,2014-51
1418733766,2014-51
1418734855,2014-51
1418734952,2014-51
1418735069,2014-51
1418735197,2014-51
1418758455,2014-51
1418758650,2014-51
1418763744,2014-51
1418768622,2014-51
1419282971,2014-52
1419283707,2014-52
1419283723,2014-52
1419283741,2014-52
1419285048,2014-52
1419599528,2014-52
1419599694,2014-52
1419625601,2014-52
1419625880,2014-52
1419628268,2014-52
1419628956,2014-52
1419629081,2014-52
1419630549,2014-52
1419631272,2014-52
1419631900,2014-52
1419632980,2014-52
1419682122,2014-52
1419798601,2015-01
1419874857,2015-01
1419875141,2015-01
1419875344,2015-01
1420227489,2015-01
1420227873,2015-01
1420228787,2015-01
1420229230,2015-01
1420230875,2015-01
1420482123,2015-02
1420490407,2015-02
1421259709,2015-03
1421259873,2015-03
1421262591,2015-03
1422298094,2015-05
1422726887,2015-05
1422728851,2015-05
1422738845,2015-05
1422814610,2015-05
1422825052,2015-06
1422826325,2015-06
1422892261,2015-06
1422897237,2015-06
1422897559,2015-06
1422912975,2015-06
1423602421,2015-07
1424028939,2015-08
1425309258,2015-10
1426024238,2015-11
1426024484,2015-11
1426025270,2015-11
1426106599,2015-11
1426107404,2015-11
1426281522,2015-11
1426281747,2015-11
1426319548,2015-11
1426353208,2015-11
1426417958,2015-11
1426418792,2015-11
1426601745,2015-12
1426601884,2015-12
1426607467,2015-12
1426609221,2015-12
1426609825,2015-12
1426746613,2015-12
1427005475,2015-12
1427042709,2015-12
1427059897,2015-13
1427467001,2015-13
1427550219,2015-13
1427553553,2015-13
1427553710,2015-13
1428078801,2015-14
1428080011,2015-14
1428081050,2015-14
1428081111,2015-14
1431696212,2015-20
1431866363,2015-20
1431866558,2015-20
1431929733,2015-21
1432730797,2015-22
1432731890,2015-22
1432731969,2015-22
1432732005,2015-22
1432739641,2015-22
1433180653,2015-23
1433253103,2015-23
1433261210,2015-23
1433261415,2015-23
1433507496,2015-23
1433570545,2015-23
1435491376,2015-26
1435518902,2015-27
1435519272,2015-27
1436198799,2015-28
1436199334,2015-28
1436199939,2015-28
1436200308,2015-28
1436238593,2015-28
1436276703,2015-28
1437330938,2015-30
1437407560,2015-30
1437407663,2015-30
1437414758,2015-30
1437491302,2015-30
1437492552,2015-30
1437492603,2015-30
1446929415,2015-45
1447459928,2015-46
1448311560,2015-48
1448572166,2015-48
1452005293,2016-01
1453297310,2016-03
1454142969,2016-04
1454189239,2016-04
1454189306,2016-04
1454230391,2016-04
1454236122,2016-04
1454236293,2016-04
1455031642,2016-06
1455049488,2016-06
1455050087,2016-06
1455064582,2016-06
1455065469,2016-06
1455170807,2016-06
1455268882,2016-06
1455269536,2016-06
1455270152,2016-06
1455700594,2016-07
1456167861,2016-08
1456168346,2016-08
1456168741,2016-08
1456173595,2016-08
1456175494,2016-08
1456176577,2016-08
1456177386,2016-08
1456177795,2016-08
1456178904,2016-08
1456216706,2016-08
1456217059,2016-08
1456229058,2016-08
1456401565,2016-08
1456404367,2016-08
1456404451,2016-08
1456405294,2016-08
1456405310,2016-08
1456408020,2016-08
1456419011,2016-08
1456420483,2016-08
1456427521,2016-08
1456428738,2016-08
1456428874,2016-08
1456429127,2016-08
1456430116,2016-08
1456430520,2016-08
1456430870,2016-08
1456489336,2016-08
1456498779,2016-08
1456499052,2016-08
1456504871,2016-08
1456506187,2016-08
1456509554,2016-08
1456510396,2016-08
1456510413,2016-08
1456564073,2016-08
1456615822,2016-08
1456685237,2016-09
1456727327,2016-09
1456737517,2016-09
1456737671,2016-09
1456739664,2016-09
1456752496,2016-09
1456752844,2016-09
1456760807,2016-09
1456781929,2016-09
1456832096,2016-09
1456949198,2016-09
1457040052,2016-09
1457045519,2016-09
1457107266,2016-09
1457118044,2016-09
1457790223,2016-10
1457994738,2016-11
1458074280,2016-11
1458139000,2016-11
1458192450,2016-11
1458194651,2016-11
1458219458,2016-11
1458326106,2016-11
1458663367,2016-12
1458670480,2016-12
1458672346,2016-12
1458684449,2016-12
1459213682,2016-13
1459223980,2016-13
1459225088,2016-13
1459227162,2016-13
1459231678,2016-13
1459231803,2016-13
1459250611,2016-13
1459250628,2016-13
1459254860,2016-13
1459269846,2016-13
1459325182,2016-13
1459354143,2016-13
1459356979,2016-13
1459357071,2016-13
1459357300,2016-13
1459371345,2016-13
1459371876,2016-13
1459373091,2016-13
1459374047,2016-13
1459375023,2016-13
1459609582,2016-13
1460667161,2016-15
1460667470,2016-15
1462123349,2016-17
1462705535,2016-18
1462707172,2016-18
1462794786,2016-19
1462796559,2016-19
1462824682,2016-19
1462965455,2016-19
1463247857,2016-19
1463248304,2016-19
1463253279,2016-19
1463254582,2016-19
1463305553,2016-19
1463328991,2016-19
1463329629,2016-19
1463329674,2016-19
1463417883,2016-20
1464282748,2016-21
1464286704,2016-21
1464286848,2016-21
1464288245,2016-21
1464288285,2016-21
1464352604,2016-21
1464352971,2016-21
1464363343,2016-21
1464376467,2016-21
1464385452,2016-21
1464385595,2016-21
1464386050,2016-21
1464386574,2016-21
1464446359,2016-21
1464603823,2016-22
1464606130,2016-22
1464607221,2016-22
1464607841,2016-22
1464684627,2016-22
1464813195,2016-22
1464813564,2016-22
1464878521,2016-22
1464899210,2016-22
1464949333,2016-22
1465416697,2016-23
1465807264,2016-24
1465807412,2016-24
1465810651,2016-24
1465818045,2016-24
1466894861,2016-25
1467382412,2016-26
1467495156,2016-26
1467536321,2016-26
1467536409,2016-26
1467575464,2016-27
1468089565,2016-27
1468570034,2016-28
1468583426,2016-28
1468583515,2016-28
1468588699,2016-28
1468593192,2016-28
1468665749,2016-28
1469108334,2016-29
1469609377,2016-30
1469611793,2016-30
1470334862,2016-31
1470334974,2016-31
1470939212,2016-32
1471425587,2016-33
1471702747,2016-33
1471872101,2016-34
1471872505,2016-34
1472142891,2016-34
1472143092,2016-34
1472144491,2016-34
1472147766,2016-34
1472163334,2016-34
1472163678,2016-34
1472407636,2016-34
1473118943,2016-36
1474142317,2016-37
1474169124,2016-37
1474183743,2016-37
1474185689,2016-37
1474514783,2016-38
1474601556,2016-38
1474601593,2016-38
1474611880,2016-38
1475024966,2016-39
1475026920,2016-39
1475031780,2016-39
1475047223,2016-39
1475049363,2016-39
1475049827,2016-39
1475132904,2016-39
1475456742,2016-40
1475458900,2016-40
1475646798,2016-40
1475736488,2016-40
1475737135,2016-40
1475740073,2016-40
1475869360,2016-40
1475870713,2016-40
1475896417,2016-40
1475900320,2016-40
1475902099,2016-40
1475985367,2016-40
1475986789,2016-40
1475986910,2016-40
1475986956,2016-40
1475986972,2016-40
1475987000,2016-40
1475987019,2016-40
1475990557,2016-40
1475990704,2016-40
1475991154,2016-40
1476002442,2016-40
1476033150,2016-40
1476035856,2016-40
1476071435,2016-41
1476071500,2016-41
1476076168,2016-41
1476077559,2016-41
1476158629,2016-41
1476158673,2016-41
1476162368,2016-41
1476162497,2016-41
1476169862,2016-41
1476170257,2016-41
1476170392,2016-41
1476171552,2016-41
1476171644,2016-41
1476174447,2016-41
1476174856,2016-41
1476177008,2016-41
1476200298,2016-41
1476200313,2016-41
1476207812,2016-41
1476256651,2016-41
1476256797,2016-41
1476258339,2016-41
1476343405,2016-41
1476347484,2016-41
1476409932,2016-41
1476435363,2016-41
1476435485,2016-41
1476439459,2016-41
1476439684,2016-41
1476441933,2016-41
1476496476,2016-41
1476497831,2016-41
1476498769,2016-41
1476501530,2016-41
1476503511,2016-41
1476503535,2016-41
1476517534,2016-41
1476675494,2016-42
1476684648,2016-42
1476685204,2016-42
1476687218,2016-42
1476687598,2016-42
1476689637,2016-42
1476690815,2016-42
1476695883,2016-42
1476697012,2016-42
1476698328,2016-42
1476698509,2016-42
1476723741,2016-42
1476724147,2016-42
1476725914,2016-42
1476726561,2016-42
1476760649,2016-42
1476761738,2016-42
1476762420,2016-42
1476771159,2016-42
1476771670,2016-42
1476773149,2016-42
1476773482,2016-42
1476846634,2016-42
1476846865,2016-42
1476937305,2016-42
1476937726,2016-42
1476975416,2016-42
1477120522,2016-42
1477120843,2016-42
1477121930,2016-42
1477122464,2016-42
1477129615,2016-42
1477148346,2016-42
1477191566,2016-42
1477191914,2016-42
1477192479,2016-42
1477195799,2016-42
1477197957,2016-42
1477199713,2016-42
1477200365,2016-42
1477205971,2016-42
1477206540,2016-42
1477209293,2016-42
1477211643,2016-42
1477267089,2016-43
1477267111,2016-43
1477267240,2016-43
1477282164,2016-43
